provider,model,usable,category,latencyMs,kind,note
"opencode-go","deepseek-v4-pro","NO","需要你操作","","AUTH_401","账户余额不足（opencode-go CreditsError）"
"opencode-go","glm-5.2","NO","需要你操作","","AUTH_401","账户余额不足（opencode-go CreditsError）"
"opencode-go","kimi-k3","NO","需要你操作","","AUTH_401","账户余额不足（opencode-go CreditsError）"
"openrouter","nex-agi/nex-n2.5-pro:free","YES","可用","513","",""
"openrouter","nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free","YES","可用","1187","",""
"openrouter","nvidia/nemotron-3-super-120b-a12b:free","YES","可用","674","BADBODY_200","{""id"":""gen-1789894932-q428UyV8Pfkrd4Cq8URz"",""error"":{""message"":""Upstream error from Nvidia: Service temporarily overloaded"",""code"":503,""metadata"":{""error_type"":"
"openrouter","nvidia/nemotron-3-ultra-550b-a55b:free","YES","可用","752","",""
"openrouter","openrouter/free","YES","可用","680","",""
"openrouter","poolside/laguna-xs-2.1:free","NO","上游临时","","RATE_429","上游限流/繁忙（会自行恢复）"
"qiniu","deepseek/deepseek-v4-flash-20260731","YES","可用","1073","",""
"qiniu","deepseek/deepseek-v4-flash-vision-exp","YES","可用","955","",""
"qiniu","deepseek/deepseek-v4-pro-0813","YES","可用","3082","",""
"qiniu","moonshotai/kimi-k3","YES","可用","15285","",""
"qiniu","qwen/qwen3.8-max","YES","可用","1871","",""
"qiniu","tencent/hy4-preview","YES","可用","2493","",""
"qiniu","z-ai/glm-5.3","YES","可用","1109","",""
"qiniu","z-ai/glm-5.3-flash","YES","可用","2107","",""
"sennsenova","deepseek-v4-flash","YES","可用","2095","",""
"sennsenova","deepseek-v4-pro","YES","可用","2294","",""
"sennsenova","kimi-k3","YES","可用","7305","",""
"tokenrhythm01","deepseek-flash","YES","可用","1075","",""
"tokenrhythm01","deepseek-v4-flash-0731","YES","可用","4494","",""
"tokenrhythm01","deepseek-v4-pro-0813","YES","可用","2189","",""
"tokenrhythm01","glm-5.2","YES","可用","894","",""
"tokenrhythm01","glm-5.3","YES","可用","1427","",""
"tokenrhythm01","glm-5.3-flash","YES","可用","2357","",""
"tokenrhythm01","kimi-k2.6","YES","可用","1334","",""
"tokenrhythm01","kimi-k2.7-code","YES","可用","6231","",""
"tokenrhythm01","mimo-v2.5-pro","YES","可用","3085","",""
"tokenrhythm01","qwen3.7-flash","YES","可用","917","",""
"tokenrhythm01","qwen3.8-flash","YES","可用","1675","",""
"tokenrhythm01","qwen3.8-max","YES","可用","1520","",""
"tokenrhythm01","seed-2.1-pro","YES","可用","2354","",""
"tokenrhythm01","seed-2.1-turbo","YES","可用","2385","",""
"tokenrouter","z-ai/glm-5.3","NO","需要你操作","","FORBIDDEN_403","赠送余额不可用于该模型（剩余可用额度 $0，需充值）"
"yidong","DeepSeek-V4-Flash","NO","需要你操作","","QUOTA_402","该模型仅限订阅用户"
"zhipu-ai","glm-4-flash","YES","可用","971","",""
"zhipu-ai","glm-4.7-flash","YES","可用","31855","",""
